institute_type,department,program,academic_year,semester,course_title,course_type,topics,tools_technologies,programming_languages,math_foundation,bloom_level,credits,project_required,generation_method,is_synthetic
NIT,AI,B.Tech,2021-2022,8,Foundations of Data Pipelines,Elective,Data Pipelines;SQL;Deployment;Image Processing;Linked Lists,Java;TensorFlow,Python,Discrete Math,Create,4,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2018-2019,4,Advanced Spark,Elective,Spark;Deployment;Tokenization;HDFS;Normalization,SQL,Java,Basic Math,Create,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,4,Foundations of CNN,Core,CNN;Image Processing;Arrays;Indexing,SQL,Java,Basic Math,Analyze,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,5,Advanced Tokenization,Core,Tokenization;Deployment;Clustering;Normalization;Image Processing;Dynamic Programming,SQL;AWS,Java,Statistics,Analyze,6,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,1,Applied Visualization,Elective,Visualization;CNN;Cloud Computing;Data Pipelines;Tokenization,Docker,Python,Logic,Create,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,4,Introduction to Cloud Computing,Elective,Cloud Computing;SQL;Clustering;Deployment,C++;TensorFlow,Python,Basic Math,Apply,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,3,Foundations of Graphs,Elective,Graphs;Normalization;Embeddings;Arrays;Visualization,PyTorch,Java,Probability,Create,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2018-2019,6,Advanced RNN,Core,RNN;HDFS;EDA;Tokenization;Image Processing;Linked Lists,Java;SQL;OpenCV,Java,Discrete Math,Understand,4,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2019-2020,5,Introduction to Linked Lists,Core,Linked Lists;RNN;CNN,TensorFlow;PyTorch,C++,Linear Algebra,Understand,6,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,7,Foundations of Tokenization,Elective,Tokenization;Cloud Computing;Dynamic Programming;Clustering,OpenCV;Scikit-learn,Java,Basic Math,Apply,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,6,Advanced HDFS,Elective,HDFS;Indexing;EDA;Neural Networks;Normalization,SQL;PyTorch,Python,Probability,Analyze,6,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2020-2021,1,Applied Neural Networks,Core,Neural Networks;Arrays;Cloud Computing;Data Pipelines;Linked Lists;Spark,Docker;Pandas;Scikit-learn,Python,Linear Algebra,Analyze,6,No,job_reverse_mapping,True
NIT,DS,B.Tech,2024-2025,3,Advanced HDFS,Core,HDFS;Linked Lists;CNN,C++;AWS,Java,Probability,Create,3,No,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,3,Foundations of Embeddings,Core,Embeddings;Neural Networks;Regression;Tokenization;CNN,Pandas;TensorFlow;HuggingFace,C++,Basic Math,Create,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,2,Applied Arrays,Core,Arrays;Neural Networks;Image Processing;Graphs;Normalization;Transformers,NLTK;OpenCV;Scikit-learn,Python,Linear Algebra,Create,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2022-2023,6,Foundations of HDFS,Core,HDFS;Trees;Normalization;EDA,OpenCV;PyTorch,Java,Statistics,Understand,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2019-2020,3,Introduction to Normalization,Elective,Normalization;Transformers;Data Pipelines;Image Processing;Indexing;Cloud Computing,NLTK;Python;PyTorch,Python,Probability,Understand,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,4,Foundations of Normalization,Elective,Normalization;Clustering;Transformers;Graphs;EDA;Image Processing,TensorFlow;C++;PyTorch,C++,Basic Math,Apply,6,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,1,Advanced RNN,Core,RNN;Clustering;Dynamic Programming,SQL;Java;HuggingFace,Java,Linear Algebra,Understand,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,3,Advanced Image Processing,Elective,Image Processing;Neural Networks;Regression;Graphs,Pandas;C++;Python,Python,Discrete Math,Apply,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2018-2019,3,Foundations of Embeddings,Elective,Embeddings;Graphs;Trees;Tokenization;Normalization;Transformers,AWS;Java;Docker,Java,Basic Math,Understand,3,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2021-2022,7,Applied Data Pipelines,Elective,Data Pipelines;Graphs;Tokenization;Normalization;Trees;HDFS,AWS;Python,Python,Statistics,Analyze,4,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2022-2023,7,Introduction to EDA,Elective,EDA;Graphs;HDFS,Spark;HuggingFace;Git,C++,Statistics,Analyze,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2021-2022,7,Foundations of RNN,Core,RNN;Indexing;Data Pipelines,TensorFlow;Python,Python,Discrete Math,Understand,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2018-2019,6,Foundations of Image Processing,Elective,Image Processing;Linked Lists;Cloud Computing;RNN,Java;PyTorch;TensorFlow,Python,Probability,Analyze,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2022-2023,4,Applied Data Pipelines,Core,Data Pipelines;Tokenization;Clustering;Graphs,Pandas;Git,Java,Logic,Understand,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2023-2024,5,Advanced Regression,Core,Regression;Neural Networks;EDA,Spark;TensorFlow,Python,Basic Math,Create,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,1,Applied Visualization,Elective,Visualization;Embeddings;Classification,PyTorch;Docker,Python,Probability,Understand,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2019-2020,3,Introduction to Data Pipelines,Elective,Data Pipelines;Trees;Neural Networks,OpenCV;PyTorch,Java,Linear Algebra,Understand,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2021-2022,2,Foundations of Data Pipelines,Core,Data Pipelines;Cloud Computing;Tokenization;Embeddings;CNN,SQL,C++,Probability,Apply,3,No,job_reverse_mapping,True
NIT,DS,B.Tech,2024-2025,5,Advanced RNN,Elective,RNN;Graphs;Arrays;Tokenization;Visualization,Python;Spark,Python,Discrete Math,Create,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2018-2019,7,Introduction to Normalization,Elective,Normalization;Trees;RNN,PyTorch;AWS;Spark,C++,Statistics,Understand,4,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2019-2020,8,Applied Trees,Core,Trees;Indexing;Graphs;Clustering;Cloud Computing,Git;Java,Java,Linear Algebra,Understand,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,2,Applied Deployment,Core,Deployment;Transformers;Visualization;HDFS,SQL,C++,Logic,Apply,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2018-2019,3,Introduction to Normalization,Core,Normalization;Cloud Computing;Visualization;Deployment;EDA;Spark,Pandas;OpenCV,Java,Statistics,Analyze,4,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2022-2023,1,Foundations of Embeddings,Elective,Embeddings;Trees;CNN;Normalization;Linked Lists,TensorFlow,Java,Logic,Understand,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2024-2025,4,Foundations of Spark,Core,Spark;Tokenization;Embeddings;Dynamic Programming;Linked Lists,Java;HuggingFace,C++,Linear Algebra,Create,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,3,Applied Transformers,Core,Transformers;CNN;SQL;Indexing;Deployment,OpenCV;AWS,Java,Discrete Math,Create,4,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,3,Advanced Trees,Core,Trees;Cloud Computing;Data Pipelines;Dynamic Programming;Transformers,OpenCV;NLTK,Java,Logic,Create,6,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,6,Applied Data Pipelines,Core,Data Pipelines;EDA;Visualization;Embeddings,OpenCV,Java,Probability,Apply,3,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2020-2021,8,Foundations of Clustering,Elective,Clustering;Dynamic Programming;Trees;CNN,Git,Python,Linear Algebra,Create,3,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2019-2020,3,Applied Visualization,Elective,Visualization;Normalization;Linked Lists;Indexing,OpenCV;NLTK,C++,Logic,Apply,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2024-2025,8,Introduction to Transformers,Core,Transformers;Data Pipelines;Cloud Computing;Normalization,HuggingFace;Scikit-learn,C++,Logic,Apply,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2018-2019,8,Introduction to Image Processing,Core,Image Processing;Graphs;EDA;Embeddings;CNN,HuggingFace,Java,Discrete Math,Apply,4,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2020-2021,1,Applied Linked Lists,Core,Linked Lists;SQL;Embeddings;Transformers;Clustering;Visualization,TensorFlow,Python,Basic Math,Analyze,3,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,1,Advanced Tokenization,Elective,Tokenization;EDA;Dynamic Programming;Deployment;Normalization,C++;Java;Spark,C++,Probability,Apply,4,No,job_reverse_mapping,True
NIT,DS,B.Tech,2018-2019,1,Foundations of Indexing,Core,Indexing;HDFS;Spark;Normalization,Java,Python,Linear Algebra,Analyze,4,No,job_reverse_mapping,True
IIT,DS,B.Tech,2018-2019,6,Foundations of Cloud Computing,Elective,Cloud Computing;Indexing;Regression;Data Pipelines,Java;Git;TensorFlow,Java,Discrete Math,Create,4,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2020-2021,1,Advanced Trees,Core,Trees;Transformers;Clustering;Visualization;Data Pipelines,Java;HuggingFace;AWS,Java,Logic,Analyze,6,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2019-2020,8,Applied HDFS,Elective,HDFS;Regression;Dynamic Programming;Trees;Normalization;Linked Lists,SQL;C++,Python,Statistics,Create,4,Yes,job_reverse_mapping,True
NIT,AI,B.Tech,2018-2019,4,Introduction to Transformers,Elective,Transformers;Deployment;Linked Lists;HDFS;RNN,Java;HuggingFace,Java,Probability,Apply,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2023-2024,8,Applied Embeddings,Elective,Embeddings;Neural Networks;Trees;Visualization;Indexing,PyTorch,C++,Discrete Math,Analyze,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,5,Introduction to Spark,Elective,Spark;EDA;Indexing;Regression;Normalization;Transformers,C++;NLTK,Python,Discrete Math,Understand,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,7,Introduction to Embeddings,Core,Embeddings;Visualization;Data Pipelines;Regression;Arrays,Pandas,C++,Discrete Math,Apply,6,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2020-2021,6,Advanced Cloud Computing,Elective,Cloud Computing;Linked Lists;Spark;Dynamic Programming;Normalization;Transformers,Docker;HuggingFace,Java,Probability,Analyze,3,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2018-2019,1,Introduction to Tokenization,Core,Tokenization;Embeddings;SQL;Image Processing,Scikit-learn,Python,Probability,Create,3,No,job_reverse_mapping,True
IIIT,AI,B.Tech,2018-2019,3,Applied Normalization,Core,Normalization;Regression;EDA,Java;HuggingFace,Python,Logic,Analyze,4,No,job_reverse_mapping,True
IIT,CSE,B.Tech,2024-2025,3,Introduction to Transformers,Core,Transformers;Embeddings;Clustering;Graphs,HuggingFace,Java,Logic,Analyze,4,No,job_reverse_mapping,True
NIT,AI,B.Tech,2024-2025,3,Foundations of Trees,Core,Trees;CNN;SQL,NLTK;Docker;Git,Java,Basic Math,Understand,4,No,job_reverse_mapping,True
IIT,AI,B.Tech,2021-2022,6,Foundations of Deployment,Core,Deployment;Image Processing;HDFS;Cloud Computing,HuggingFace,Python,Linear Algebra,Analyze,3,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2019-2020,6,Advanced Transformers,Elective,Transformers;Embeddings;CNN;Trees,SQL;OpenCV,Python,Logic,Understand,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2023-2024,3,Foundations of Regression,Core,Regression;Data Pipelines;Spark;Visualization,TensorFlow;Pandas;AWS,Python,Logic,Analyze,6,No,job_reverse_mapping,True
NIT,CSE,B.Tech,2019-2020,7,Introduction to Tokenization,Elective,Tokenization;HDFS;Image Processing,OpenCV;Scikit-learn,Java,Discrete Math,Understand,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2021-2022,7,Applied Normalization,Core,Normalization;Classification;RNN;Spark;Dynamic Programming;EDA,TensorFlow;NLTK;Spark,Java,Linear Algebra,Create,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2020-2021,8,Advanced Dynamic Programming,Elective,Dynamic Programming;Graphs;Linked Lists;CNN,Pandas;AWS,Python,Basic Math,Analyze,3,Yes,job_reverse_mapping,True
IIIT,AI,B.Tech,2024-2025,3,Advanced Embeddings,Core,Embeddings;Normalization;Tokenization;CNN;EDA;Arrays,PyTorch,Python,Probability,Understand,3,No,job_reverse_mapping,True
NIT,AI,B.Tech,2020-2021,8,Foundations of CNN,Elective,CNN;Image Processing;Arrays;Graphs;Indexing;Dynamic Programming,NLTK;TensorFlow,C++,Logic,Apply,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,5,Foundations of SQL,Core,SQL;Embeddings;Normalization,Scikit-learn;Pandas;AWS,C++,Statistics,Analyze,4,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2022-2023,6,Applied Classification,Elective,Classification;Spark;Embeddings;SQL,C++;Spark;Pandas,Python,Statistics,Apply,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2022-2023,3,Introduction to Spark,Elective,Spark;RNN;Regression;SQL;Visualization,AWS;TensorFlow,Java,Discrete Math,Analyze,4,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,2,Advanced Cloud Computing,Core,Cloud Computing;CNN;EDA;HDFS;Arrays;Spark,Scikit-learn;OpenCV,Python,Statistics,Apply,6,No,job_reverse_mapping,True
NIT,AI,B.Tech,2023-2024,7,Introduction to Data Pipelines,Core,Data Pipelines;Clustering;Linked Lists;Cloud Computing,Java;SQL;C++,Java,Basic Math,Apply,4,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2022-2023,8,Introduction to EDA,Elective,EDA;Dynamic Programming;Embeddings,Git,Java,Linear Algebra,Create,6,Yes,job_reverse_mapping,True
NIT,DS,B.Tech,2020-2021,6,Advanced Spark,Elective,Spark;Tokenization;Classification;Clustering;Neural Networks,Scikit-learn;SQL;Spark,Java,Statistics,Analyze,6,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,5,Foundations of Graphs,Elective,Graphs;Cloud Computing;Data Pipelines;Image Processing;SQL,Pandas;TensorFlow,Python,Discrete Math,Analyze,4,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2023-2024,5,Advanced Classification,Core,Classification;Deployment;Image Processing;Neural Networks;EDA;Data Pipelines,Java,C++,Basic Math,Apply,6,Yes,job_reverse_mapping,True
IIT,CSE,B.Tech,2019-2020,1,Advanced Indexing,Elective,Indexing;RNN;EDA,Java;OpenCV,Python,Statistics,Create,6,No,job_reverse_mapping,True
IIIT,DS,B.Tech,2019-2020,5,Foundations of CNN,Core,CNN;HDFS;Linked Lists;Deployment;Trees,AWS;SQL;Git,Java,Linear Algebra,Understand,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2024-2025,8,Applied Visualization,Elective,Visualization;CNN;Linked Lists;Arrays,AWS;Spark,Python,Logic,Create,3,Yes,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,8,Foundations of Classification,Elective,Classification;Graphs;RNN;Regression;Visualization,OpenCV;Scikit-learn,Java,Logic,Apply,3,Yes,job_reverse_mapping,True
NIT,CSE,B.Tech,2022-2023,7,Foundations of Embeddings,Elective,Embeddings;RNN;Trees;SQL;Graphs;Regression,Docker,Java,Linear Algebra,Create,4,Yes,job_reverse_mapping,True
IIT,AI,B.Tech,2020-2021,5,Applied Neural Networks,Core,Neural Networks;HDFS;Transformers,SQL;C++;OpenCV,Java,Basic Math,Analyze,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2018-2019,5,Introduction to Spark,Core,Spark;Clustering;Dynamic Programming;Tokenization;Normalization,AWS;TensorFlow;PyTorch,C++,Basic Math,Understand,6,Yes,job_reverse_mapping,True
IIIT,DS,B.Tech,2021-2022,6,Advanced Cloud Computing,Core,Cloud Computing;Graphs;Linked Lists,Spark;Git;SQL,Java,Logic,Create,3,Yes,job_reverse_mapping,True
IIT,DS,B.Tech,2023-2024,4,Introduction to Trees,Elective,Trees;Embeddings;Normalization;Linked Lists;EDA;Dynamic Programming,PyTorch;Docker;AWS,Python,Discrete Math,Create,4,No,job_reverse_mapping,True
IIIT,CSE,B.Tech,2024-2025,1,Foundations of Cloud Computing,Elective,Cloud Computing;Trees;Linked Lists;Indexing,NLTK;Java,C++,Probability,Create,3,No,job_reverse_mapping,True
